nodeA,nodeB,weight
Donald Trump,Hillary Clinton,2267
Hillary Clinton,Ted Cruz,581
Bernie Sanders,Hillary Clinton,1160
Clinton,Hillary Clinton,14714
Hillary Clinton,Trump,2315
Cruz,Hillary Clinton,1223
Hillary,Hillary Clinton,1458
Donald Trump,Ted Cruz,956
Bernie Sanders,Donald Trump,712
Clinton,Donald Trump,8819
Donald Trump,Trump,3683
Cruz,Donald Trump,2583
Donald Trump,Hillary,717
Donald Trump,Kasich,657
Clinton,Ted Cruz,1656
Ted Cruz,Trump,949
Cruz,Ted Cruz,2882
Bernie Sanders,Clinton,6483
Bernie Sanders,Trump,635
Clinton,John Kasich,738
Cruz,John Kasich,912
Clinton,Trump,10984
Clinton,Clinton,67546
Clinton,Cruz,3088
Clinton,Hillary,6956
Clinton,Kasich,1005
Cruz,Trump,3747
Hillary,Trump,1064
Kasich,Trump,715
Cruz,Cruz,10088
Cruz,Kasich,2292
Hillary,Hillary,1852
Hillary Clinton,Obama,860
Bush,Hillary Clinton,1145
Donald Trump,Obama,581
Donald Trump,Donald Trump,1529
Bush,Donald Trump,1481
Clinton,Obama,4072
Clinton,George W. Bush,827
Bush,Clinton,2543
Clinton,Reagan,1137
Clinton,Richard Nixon,752
Trump,Trump,3149
Obama,Trump,741
Bush,Trump,2055
Obama,Obama,861
Bush,Obama,668
Bush,George W. Bush,1605
Bush,Bush,12244
Bush,Ted Cruz,996
Bill Clinton,Hillary Clinton,905
Bill Clinton,Clinton,5653
Hillary Clinton,Hillary Clinton,1415
Bill,Clinton,2158
Clinton,John McCain,611
Donald Trump,Jeb Bush,521
Bush,Jeb Bush,3283
Jeb Bush,Trump,557
Barack Obama,Hillary Clinton,511
Barack Obama,Clinton,2929
Bush,Cruz,2022
McConnell,McConnell,685
Clinton,Joe Biden,1371
Clinton,Elizabeth Warren,1045
Paul Ryan,Ryan,733
Clinton,Paul Ryan,703
Clinton,Ryan,751
Clinton,Marco Rubio,1432
Donald Trump,Marco Rubio,721
Clinton,Jeb Bush,1089
Bush,Marco Rubio,1117
Bush,Romney,2921
Clinton,Hillary Rodham Clinton,1065
Clinton,Romney,809
Biden,Clinton,874
Romney,Romney,3107
Clinton,Warren,1078
Boehner,John Boehner,748
Boehner,Boehner,1541
Clinton,Sanders,991
Clinton,Hillary Clinton's,981
Clinton,Donald Trump's,577
Mateen,Mateen,641
Cruz,Jeb Bush,860
Paul,Rand Paul,715
Bush,Paul,565
Cruz,Paul,760
Paul,Paul,1619
Clinton,Stevens,1137
Ben Carson,Bush,538
Marco Rubio,Ted Cruz,549
Marco Rubio,Trump,624
Carson,Trump,526
Carson,Carson,1057
Bush,Carson,615
Bush,Jeb,2781
Bush,Chris Christie,721
Johnson,Johnson,2154
Clinton,Wasserman Schultz,503
Donald Trump,Fiorina,511
Ben Carson,Cruz,642
Carson,Cruz,569
Cruz,Fiorina,554
Bernie,Clinton,829
Clintons,Hillary Clinton,780
Clinton,Whitewater,673
Clinton,Clintons,5256
Clinton,Monica Lewinsky,1182
Clinton,Lewinsky,922
Clinton,Osama bin Laden,601
Blackberry,Clinton,580
Cruz,Marco Rubio,1232
Bush,Kasich,670
Kasich,Kasich,1150
Scalia,Scalia,914
Clinton,Robby Mook,516
Reagan,Reagan,505
Clinton,Politico,718
Clinton,Kennedy,715
Clinton,Johnson,1914
Clinton,Tim Kaine,607
Clinton,Kaine,1109
Netanyahu,Netanyahu,1606
Fiorina,Fiorina,932
Clinton,John Podesta,546
Clinton,Comey,604
Clintons,Hillary,524
Bill Clinton,Clintons,733
Clinton,Michelle Obama,535
Clinton,Mike Pence,584
Ryan,Ryan,2327
Ryan,Trump,570
Al Gore,Clinton,779
Boehner,Ryan,658
Clintons,Clintons,583
Chris Christie,Clinton,711
Clinton,Vladimir Putin,815
Christopher Stevens,Clinton,529
Clinton,Sidney Blumenthal,552
Clinton,Martin O'Malley,809
Clinton,Jim Webb,536
Putin,Putin,548
Francis,Francis,643
Boehner,McCarthy,694
Davis,Davis,995
Ben Carson,Clinton,562
Clinton,Rodham,1025
BlackBerry,Clinton,770
Clinton,Sullivan,956
Clinton,Pagliano,553
Abedin,Clinton,1542
Clinton,Powell,529
Abedin,Abedin,1410
Bush,Marco,637
Clinton,Gowdy,918
Blumenthal,Clinton,651
Romney,Trump,574
Bannon,Clinton,508
Clinton,Williams,591
Clinton,Gore,577
Bush,Murphy,502
Tai,Tai,549
Clinton,Jordan,516
Clinton,Hillary Rodham,588
Boehner,McConnell,739
Abedin,Hillary,2090
Abedin,Huma,637
Bergdahl,Bergdahl,562
Buckley,Buckley,529
